CowTagID,Taxon_Group,totalpCover
V1,Hard Substrate,3.2407407407407405
V1,Sand,19.90740740740741
V1,Scleractinia,34.25925925925926
V10,Hard Substrate,3.255813953488372
V10,Sand,1.8604651162790697
V10,Scleractinia,31.627906976744185
V11,Hard Substrate,10.377358490566039
V11,Sand,11.320754716981133
V11,Scleractinia,14.622641509433963
V12,Hard Substrate,12.5
V12,Sand,20.37037037037037
V12,Scleractinia,22.685185185185183
V14,Sand,88.37209302325581
V15,Hard Substrate,6.912442396313364
V15,Sand,0.9216589861751152
V15,Scleractinia,25.806451612903224
V16,Hard Substrate,16.444444444444443
V16,Sand,61.77777777777778
V16,Scleractinia,9.777777777777779
V17,Hard Substrate,2.272727272727273
V17,Sand,77.72727272727272
V18,Hard Substrate,1.932367149758454
V18,Sand,11.594202898550725
V18,Scleractinia,16.425120772946862
V19,Hard Substrate,10.85972850678733
V19,Sand,33.4841628959276
V19,Scleractinia,18.099547511312217
V2,Hard Substrate,2.5
V2,Sand,3
V2,Scleractinia,21
V20,Hard Substrate,3
V20,Sand,75
V20,Scleractinia,5.5
V3,Hard Substrate,27.983539094650205
V3,Sand,13.580246913580247
V3,Scleractinia,14.814814814814815
V4,Hard Substrate,39.583333333333336
V4,Sand,13.020833333333334
V4,Scleractinia,9.895833333333332
V5,Hard Substrate,5.970149253731344
V5,Sand,16.417910447761194
V5,Scleractinia,25.37313432835821
V6,Hard Substrate,11.520737327188941
V6,Sand,22.119815668202765
V6,Scleractinia,20.737327188940093
V7,Hard Substrate,8.755760368663594
V7,Sand,44.70046082949309
V7,Scleractinia,5.0691244239631335
V8,Hard Substrate,7.476635514018691
V8,Sand,16.822429906542055
V8,Scleractinia,14.953271028037383
V9,Hard Substrate,4.090909090909091
V9,Sand,30.909090909090907
V9,Scleractinia,39.09090909090909
