Species;FE
Aglaozonia.melanoidea;a121221ba121a11
Cladostephus.spongiosus;c112221ba112a11
Colpomenia.sinuosa;d112211ba122a11
Dictyota.dichotoma;c112211ba112a11
Dictyota.dichotoma.v.intricata;c112211ba112a11
Dictyota.fasciola;c112211ba112a11
Dictyota.spiralis;c112211ba112a11
Halopteris.filicina;c122221ba112a11
Halopteris.scoparia;c122221ba112a11
Lobophora.variegata;a111211ba122a21
Padina.pavonica;c112211ba112b11
Pseudolithoderma.adriaticum;a121221ba121a11
Sargassum.vulgare;c122221ba112a11
Sphacelaria.cirrosa;b111211ba122a11
Taonia.atomaria;c112211ba112a11
Acrosorium.venulosum;c111211ba122a11
Amphiroa.rigida;c112211ba112b11
Amphiroa.cryptarthrodia;c112211ba112b11
Corallina.elongata;c122221ba122b11
Cryptonemia.lomation;c122221ba112a11
Ethelia.van.bosseae;a121221ba121a11
Gelidium.pusillum;c222211ba122a11
Haliptilon.virgatum;c212211ba112b11
Hildenbrandia.crouaniorum;a121221ba121a11
Hydrolithon.farinosum;a111211ba112b11
Jania.rubens;c112211ba122b11
Neogoniolithon.brassica.florida;a121221ba122b11
Parvocaulis.parvulus;b111211ba111b11
Peyssonnelia.rosa.marina;a121221ba121b11
Peyssonnelia.squamaria;a111211ba122a11
Rhodophyllis.divaricata;c112211ba122a11
Rhodymenia.ardissonei;c122211ba122a11
Acetabularia.acetabulum;b112221ba112b11
Bryopsis.duplex;b112211ba112a11
Caulerpa.cylindracea;c222211ba222a21
Cladophora.aff.coelothrix;b112211ba122a11
Cladophora.coelothrix;b112221ba122a11
Cladophora.prolifera;b122211ba112a11
Flabellia.petiolata;c222211ba122a11
Halicystis.parvula;d111211ba112a11
Halimeda.tuna;c222221ba122b11
Pedobesia.lamourouxii.;b112211ba112a11
Valonia.utricularis;d222111ba122a11
Turf.;b211211ba122a11
Caccospongia.mollior;d222222ab221a11
Chondrosia.reniformis;d222222bb221a11
Cliona.viridis;a221212bb221a11
Crambe.crambe;a221212ab221a21
Haliclona.mediterranea;d222212ab222a11
Hymedesmia.versicolor;a221212ab221a11
Ircinia.dendroides;d222222bb211a11
Ircinia.fasciculata;d222222bb212a11
Myxilla.rosacea;d221212ab222a11
Petrosia.ficiformis;d222222bb221a11
Terpios.fugax;a221212bb121a11
Stephanoscyphus.sp;c221212ab122a11
Balanophyllia.europaea;d122222bb211b11
Schizoporella.longicornis;a221222ab122b11
Celleporina;d221212ab122b11
Lichenopora.radiata;a211112ab122b11
Watersipora.subovoidea;a211212ab122b11
Salmacina.dysteri;a211112ab122b11
Spirorbis.sp;a221212ab112b11
Arca.noae;d122222ab111b11
Patella.coerulea;d121222ac111b12
Paracentrotus.lividus;d122222ac211b12
Perforatus.perforatus;d121222ab111b11
Ascidia.mentula;d122222ab111a11
Cystodites.dellechiajei;d222222ab122b21
Didemnum.sp;a221212ab122b11
Diplosoma.spongiforme;a221212ab122a11
Pyura.dura;d122222ab111b11
